Title,Image URL,Course URL
Anyone can Build AI Agents - Free Course,https://import.cdn.thinkific.com/118220/HDiuucWOTp2G0PDvjEQm_build%20your%20first%20agent%20using%20no%20code%20tools%20(1).jpg,https://courses.analyticsvidhya.com//courses/your-ultimate-guide-to-becoming-an-agentic-ai-expert-by-2025
A Comprehensive Learning Path to Become a Data Analyst in 2025,https://import.cdn.thinkific.com/118220/qdmHBCw7Qtqw2Y9g0vOE_Become%20a%20GenAI%20Expert%20in%202025.%20Thumbnail.jpg,https://courses.analyticsvidhya.com//courses/a-comprehensive-learning-path-to-become-a-data-analyst-in-2025
Reimagining GenAI: Common Mistakes and Best Practices for Success,https://import.cdn.thinkific.com/118220/ky8mTd5ISIypAcrVJkdO_unnamed%20(4).jpg,https://courses.analyticsvidhya.com//courses/reimagining-genai-common-mistakes-and-best-practices-for-success
Coding a ChatGPT-style Language Model from Scratch in PyTorch,https://import.cdn.thinkific.com/118220/Q1tYD2LSlaLzL1XPZWgw_1Mastering%20Multilingual%20GenAI%20Open-Weights%20for%20Indic%20Languages%20copy.png,https://courses.analyticsvidhya.com//courses/coding-a-chatgpt-style-language-model-from-scratch-in-pytorch
Mastering Multilingual GenAI Open-Weights for Indic Languages,https://import.cdn.thinkific.com/118220/beC0zMfQhOnHcT2FLR4g_unnamed%20(2).jpg,https://courses.analyticsvidhya.com//courses/mastering-multilingual-genai-open-weights-for-indic-languages
Learning Autonomous Driving Behaviors with LLMs & RL,https://import.cdn.thinkific.com/118220/lrzfD3upSjb0iUOrJcOo_unnamed%20(1).jpg,https://courses.analyticsvidhya.com//courses/learning-autonomous-driving-behaviors-with-llms-and-rl
GenAI Applied to Quantitative Finance: For Control Implementation,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,https://courses.analyticsvidhya.com//courses/genai-applied-to-quantitative-finance-for-control-implementation
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",https://import.cdn.thinkific.com/118220/SV5jeKd1Q4iFyzMlUSdw_Thumbnail.png,https://courses.analyticsvidhya.com//courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy
Creating Problem-Solving Agents using GenAI for Action Composition,https://import.cdn.thinkific.com/118220/ih6JsBMgSCWbl9ofgpYg_Thumbnail%20.png,https://courses.analyticsvidhya.com//courses/creating-problem-solving-agents-using-genai-for-action-composition
Improving Real World RAG Systems: Key Challenges & Practical Solutions,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg,https://courses.analyticsvidhya.com//courses/improving-real-world-rag-systems-key-challenges
Framework to Choose the Right LLM for your Business,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg,https://courses.analyticsvidhya.com//courses/choosing-the-right-LLM-for-your-business
Building Smarter LLMs with Mamba and State Space Model,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png,https://courses.analyticsvidhya.com//courses/building-smarter-llms-with-mamba-and-state-space-model
Generative AI - A Way of Life - Free Course,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png,https://courses.analyticsvidhya.com//courses/genai-a-way-of-life
Building LLM Applications using Prompt Engineering - Free Course,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png,https://courses.analyticsvidhya.com//courses/building-llm-applications-using-prompt-engineering-free
Building Your First Computer Vision Model - Free Course,https://import.cdn.thinkific.com/118220/cv8WEAZPRtGcSR8A2kBY_cv%20thumbnail.png,https://courses.analyticsvidhya.com//courses/building-your-first-computer-vision-model
Bagging and Boosting ML Algorithms - Free Course,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg,https://courses.analyticsvidhya.com//courses/bagging-boosting-ML-Algorithms
MidJourney: From Inspiration to Implementation - Free Course,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png,https://courses.analyticsvidhya.com//courses/midjourney_from_inspiration_to_implementation
Understanding Linear Regression - Free Course,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png,https://courses.analyticsvidhya.com//courses/free-understanding-linear-regression
The Working of Neural Networks - Free Course,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg,https://courses.analyticsvidhya.com//courses/the-working-of-neural-networks
The A to Z of Unsupervised ML - Free Course,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png,https://courses.analyticsvidhya.com//courses/free-unsupervised-ml-guide
Building Your first RAG System using LlamaIndex - Free Course,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png,https://courses.analyticsvidhya.com//courses/building-first-rag-systems-using-llamaindex
Data Preprocessing on a Real-World Problem Statement - Free Course,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png,https://courses.analyticsvidhya.com//courses/data-preprocessing
Exploring Stability.AI - Free Course,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png,https://courses.analyticsvidhya.com//courses/exploring-stability-ai
Building a Text Classification Model with Natural Language Processing - Free Course,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png,https://courses.analyticsvidhya.com//courses/free-building-textclassification-natural-language-processing
Getting Started with Large Language Models,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png,https://courses.analyticsvidhya.com//courses/getting-started-with-llms
Introduction to Generative  AI,https://import.cdn.thinkific.com/118220/CNjAWH6TUaIQt8N5FX9Y_thumbnail%201.png,https://courses.analyticsvidhya.com//courses/introduction-to-generative-ai
Exploring Natural Language Processing (NLP) using Deep Learning,https://import.cdn.thinkific.com/118220/vl3JHf3eS0Wp9XPLeDaL_8.png,https://courses.analyticsvidhya.com//courses/exploring-natural-language-processing-nlp-using-deep-learning
Getting Started with Deep Learning,https://import.cdn.thinkific.com/118220/KybSy5ROKQAC4fyxyFlQ_6_.png,https://courses.analyticsvidhya.com//courses/getting-started-with-deep-learning
Nano Course: Dreambooth-Stable Diffusion for Custom Images,https://import.cdn.thinkific.com/118220/sU6NzHaSiCPghfiOpQ52_Introduction_to_Natural_Language_Processing_b92e8456-3145-489b-97e7-51925a655b2c.png,https://courses.analyticsvidhya.com//courses/nano-course-dreambooth-stable-diffusion-for-custom-images
A Comprehensive Learning Path for Deep Learning in 2023,https://files.cdn.thinkific.com/courses/course_card_image_000/580/9901576591074.original.jpg,https://courses.analyticsvidhya.com//courses/a-comprehensive-learning-path-for-deep-learning-in-2023
A Comprehensive Learning Path to Become a Data Scientist in 2024,https://import.cdn.thinkific.com/118220/1b0s4lDiQluveqaLqKj8_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_6e902c6d-46bf-4b8b-91cc-24329e68086c.png,https://courses.analyticsvidhya.com//courses/a-comprehensive-learning-path-to-become-a-data-scientist-in-twenty-twenty-four
Nano Course: Building Large Language Models for Code,https://import.cdn.thinkific.com/118220/OelAeGXrRuGrnkcJSdAO_OG.png,https://courses.analyticsvidhya.com//courses/building-large-language-models-for-code
Nano Course: Cutting Edge LLM Tricks,https://import.cdn.thinkific.com/118220/OelAeGXrRuGrnkcJSdAO_OG.png,https://courses.analyticsvidhya.com//courses/cutting-edge-llm-tricks
Certified AI & ML BlackBelt+ Program,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/808/1719037298.original.png,https://courses.analyticsvidhya.com//bundles/certified-ai-ml-blackbelt-plus
Machine Learning Summer Training,https://import.cdn.thinkific.com/118220/courses/1903742/zJ10PGDvQPKiGRGM73Dn_icon%282%29%20%281%29.jpg,https://courses.analyticsvidhya.com//courses/machine-learning-summer-training
AI Ethics by Fractal,https://import.cdn.thinkific.com/118220/courses/1720521/9MuNm0LRmeWOiy5VjCDB_ai.png,https://courses.analyticsvidhya.com//courses/ai-ethics-fractal
A Comprehensive Learning Path to Become a Data Engineer in 2022,https://import.cdn.thinkific.com/118220/courses/1667459/Rqbh8QTKShaGKJ6vNiRx_overview%20of%20data%20engineering.jpg,https://courses.analyticsvidhya.com//courses/a-comprehensive-learning-path-to-become-a-data-engineer-in-2022
Certified Business Analytics Program,https://files.cdn.thinkific.com/bundles/bundle_card_image_000/048/438/1719206987.original.png,https://courses.analyticsvidhya.com//bundles/certified-business-analytics-program
Certified Machine Learning Master's Program (MLMP),https://files.cdn.thinkific.com/bundles/bundle_card_image_000/046/940/1719206858.original.png,https://courses.analyticsvidhya.com//bundles/certified-machine-learning-master-s-program-mlmp
Certified Natural Language Processing Master’s Program,https://import.cdn.thinkific.com/118220/moBOBv3RMCKDgEoIi3DK_nlp%20master_thumb.jpg,https://courses.analyticsvidhya.com//bundles/certified-natural-language-processing-master-s-program
Certified Computer Vision Master's Program,https://import.cdn.thinkific.com/118220/BY3BuXPFRuaKZuKdYB5T_thumb_.jpg,https://courses.analyticsvidhya.com//bundles/certified-computer-vision-masters-program
Applied Machine Learning - Beginner to Professional,https://files.cdn.thinkific.com/courses/course_card_image_000/739/8911589353707.original.jpg,https://courses.analyticsvidhya.com//courses/applied-machine-learning-beginner-to-professional
Ace Data Science Interviews,https://import.cdn.thinkific.com/118220/eZzXQDJSgyLlxFiQ5rbu_data_science_interview.jpg,https://courses.analyticsvidhya.com//courses/ace-data-science-interviews
Writing Powerful Data Science Articles,https://import.cdn.thinkific.com/118220/courses/1292824/YfJD5SeRLaXRxYgVb2uw_icon.png,https://courses.analyticsvidhya.com//courses/writing-powerful-data-science-articles
Machine Learning Certification Course for Beginners,https://import.cdn.thinkific.com/118220/NjFxaJVSFeAfMSHYoG9Q_Machine_Learning_for_Beginners_b896980a-b1d1-41bc-9bab-d8d3176daaf8.png,https://courses.analyticsvidhya.com//courses/Machine-Learning-Certification-Course-for-Beginners
Data Science Career Conclave,https://import.cdn.thinkific.com/118220/courses/1230486/udv57o17QrG3uuBO8BwD_1200x628-icon.png,https://courses.analyticsvidhya.com//courses/data-science-career-conclave
Top Data Science Projects for Analysts and Data Scientists,https://import.cdn.thinkific.com/118220/oNPtWVT9CbWwip5Ogang_project_thumb.jpg,https://courses.analyticsvidhya.com//courses/top-data-science-projects-for-analysts-and-data-scientists
Getting Started with Git and GitHub for Data Science Professionals,https://import.cdn.thinkific.com/118220/pbMFVOw2RPi9fFXSOuGP_github_thumb.jpg,https://courses.analyticsvidhya.com//courses/getting-started-with-git-and-github-for-data-science-professionals
Machine Learning Starter Program,https://import.cdn.thinkific.com/118220/OTJAEtMGQWaxxIWD0pWv_MLSP%20thumb.jpg,https://courses.analyticsvidhya.com//bundles/machine-learning-starter-program
"Data Science Hacks, Tips and Tricks",https://import.cdn.thinkific.com/118220/qaomVKyQPaj9MCRxO9dg_course%20thumb%20image.jpg,https://courses.analyticsvidhya.com//courses/data-science-hacks-tips-and-tricks
Introduction to Business Analytics,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png,https://courses.analyticsvidhya.com//courses/introduction-to-analytics
Introduction to PyTorch for Deep Learning,https://import.cdn.thinkific.com/118220/3Ec7NO7MTkqaEImQio94_pytorch_thumb.jpg,https://courses.analyticsvidhya.com//courses/introduction-to-pytorch-for-deeplearning
Introductory Data Science for Business Managers,https://import.cdn.thinkific.com/118220/oF8KoXuyQ7KrHIRMmTt5_Business_Manager.jpg,https://courses.analyticsvidhya.com//bundles/introductory-data-science-for-business-managers
Introduction to Natural Language Processing,https://import.cdn.thinkific.com/118220/X8bM7n4REC8ykgf53oSj_10.Introduction%20to%20AI%20_%20ML.png,https://courses.analyticsvidhya.com//courses/Intro-to-NLP
Getting started with Decision Trees,https://import.cdn.thinkific.com/118220/Tgfv1fveTpWrv3ZFTt6r_Decision_Trees_ca3c729e-525b-4c8c-9f48-dec4bbb4faf3.png,https://courses.analyticsvidhya.com//courses/getting-started-with-decision-trees
Introduction to Python,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png,https://courses.analyticsvidhya.com//courses/introduction-to-data-science
Loan Prediction Practice Problem (Using Python),https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png,https://courses.analyticsvidhya.com//courses/loan-prediction-practice-problem-using-python
Big Mart Sales Prediction Using R,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg,https://courses.analyticsvidhya.com//courses/big-mart-sales-prediction-using-r
Twitter Sentiment Analysis,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg,https://courses.analyticsvidhya.com//courses/twitter-sentiment-analysis
Pandas for Data Analysis in Python,https://import.cdn.thinkific.com/118220/SPL9Cu7sQ5uihQ2mGYtO_Pandas_for_Data_Analysis_in_Python_7760df6c-f648-46d8-93f3-ba4e49d89a22.png,https://courses.analyticsvidhya.com//courses/pandas-for-data-analysis-in-python
Support Vector Machine (SVM) in Python and R,https://import.cdn.thinkific.com/118220/PhPoLyt7QKOucBS6VLf2_Support%20Vector%20Machine_thumb.jpg,https://courses.analyticsvidhya.com//courses/support-vector-machine-svm-in-python-and-r
Evaluation Metrics for Machine Learning Models,https://import.cdn.thinkific.com/118220/Qb1PlcDoTEeoR1ZOOvUy_evaluation%20metrics_thumb.jpg,https://courses.analyticsvidhya.com//courses/evaluation-metrics-for-machine-learning-models
Fundamentals of Regression Analysis,https://import.cdn.thinkific.com/118220/C5HN5LVDQsyS1hRojIyT_courses_thumb.jpg,https://courses.analyticsvidhya.com//courses/Fundamentals-of-Regression-Analysis
Getting Started with scikit-learn (sklearn) for Machine Learning,https://import.cdn.thinkific.com/118220/d8R1MoSmisGRZk4UJWQF_thumb_.jpg,https://courses.analyticsvidhya.com//courses/get-started-with-scikit-learn-sklearn
Convolutional Neural Networks (CNN) from Scratch,https://import.cdn.thinkific.com/118220/4yxTr5xuQy6snBYBcHP8_Convolutional%20Neural%20Networks_thumb.jpg,https://courses.analyticsvidhya.com//courses/convolutional-neural-networks-cnn-from-scratch
Dimensionality Reduction for Machine Learning,https://import.cdn.thinkific.com/118220/Um1x4Xh7RIGzMIQuwCeM_course_thumb%20.jpg,https://courses.analyticsvidhya.com//courses/dimensionality-reduction-for-machine-learning
K-Nearest Neighbors (KNN) Algorithm in Python and R,https://import.cdn.thinkific.com/118220/7FpGUA1gQLWbDB5oVsCz_thumb_.jpg,https://courses.analyticsvidhya.com//courses/K-Nearest-Neighbors-KNN-Algorithm
Ensemble Learning and Ensemble Learning Techniques,https://import.cdn.thinkific.com/118220/doHSugITVCfoBUVdlxeH_Ensemble%20Learning-thumb.jpg,https://courses.analyticsvidhya.com//courses/ensemble-learning-and-ensemble-learning-techniques
Linear Programming for Data Science Professionals,https://import.cdn.thinkific.com/118220/TMBNBD4R5a1YdlMHJada_thumb.jpg,https://courses.analyticsvidhya.com//courses/linear-programming
Naive Bayes from Scratch,https://import.cdn.thinkific.com/118220/tdU7ioeOQG4ZuHzhoJrQ_thumb_.jpg,https://courses.analyticsvidhya.com//courses/naive-bayes
Learn Swift for Data Science,https://import.cdn.thinkific.com/118220/QT5BeWvTG2ITfNiyiCZQ_thumb.jpg,https://courses.analyticsvidhya.com//courses/learn-swift-for-data-science
Introduction to Web Scraping using Python,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg,https://courses.analyticsvidhya.com//courses/introduction-to-web-scraping
Tableau for Beginners,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg,https://courses.analyticsvidhya.com//courses/tableau-for-beginners
Getting Started with Neural Networks,https://import.cdn.thinkific.com/118220/hujFPpK4S261x92WyEyc_natural%20Network.jpg,https://courses.analyticsvidhya.com//courses/getting-started-with-neural-networks
Introduction to AI & ML,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png,https://courses.analyticsvidhya.com//courses/introduction-to-ai-ml
Winning Data Science Hackathons - Learn from Elite Data Scientists,https://import.cdn.thinkific.com/118220/7exjvWuRSNesvaXPPxHO_data-science.jpg,https://courses.analyticsvidhya.com//courses/winning-data-science-hackathons-learn-from-elite-data-scientists
Hypothesis Testing for Data Science and Analytics,https://import.cdn.thinkific.com/118220/iO9QE66XTOm17Mz0fxzs_thumb.jpg,https://courses.analyticsvidhya.com//courses/hypothesis-testing-for-data-science-and-analytics
